ncsim(64): 15.20-s086: (c) Copyright 1995-2020 Cadence Design Systems, Inc.

-------------------------------------
Relinquished control to SimVision...
ncsim> 
ncsim> database -open waves -into waves.shm -default
Created default SHM database waves
ncsim> probe -create -shm LiftC_Tb.Down LiftC_Tb.Up LiftC_Tb.clk LiftC_Tb.door LiftC_Tb.req_floor LiftC_Tb.reset LiftC_Tb.stop LiftC_Tb.y
Created probe 1
ncsim> run
Time=0 | reset=1 | req_floor=0 | current_floor=0 | Up=0 | Down=0 | stop=1 | door=1
Time=1195000 | reset=0 | req_floor=37 | current_floor=22 | Up=1 | Down=0 | stop=0 | door=0
Time=1205000 | reset=0 | req_floor=37 | current_floor=23 | Up=1 | Down=0 | stop=0 | door=0
Time=1215000 | reset=0 | req_floor=37 | current_floor=24 | Up=1 | Down=0 | stop=0 | door=0
Time=1225000 | reset=0 | req_floor=37 | current_floor=25 | Up=1 | Down=0 | stop=0 | door=0
Time=1235000 | reset=0 | req_floor=37 | current_floor=26 | Up=1 | Down=0 | stop=0 | door=0
Time=1245000 | reset=0 | req_floor=37 | current_floor=27 | Up=1 | Down=0 | stop=0 | door=0
Time=1255000 | reset=0 | req_floor=37 | current_floor=28 | Up=1 | Down=0 | stop=0 | door=0
Time=1265000 | reset=0 | req_floor=37 | current_floor=29 | Up=1 | Down=0 | stop=0 | door=0
Time=1275000 | reset=0 | req_floor=37 | current_floor=30 | Up=1 | Down=0 | stop=0 | door=0
Time=1285000 | reset=0 | req_floor=37 | current_floor=31 | Up=1 | Down=0 | stop=0 | door=0
Time=1295000 | reset=0 | req_floor=37 | current_floor=32 | Up=1 | Down=0 | stop=0 | door=0
Time=1305000 | reset=0 | req_floor=37 | current_floor=33 | Up=1 | Down=0 | stop=0 | door=0
Time=1315000 | reset=0 | req_floor=37 | current_floor=34 | Up=1 | Down=0 | stop=0 | door=0
Time=1325000 | reset=0 | req_floor=37 | current_floor=35 | Up=1 | Down=0 | stop=0 | door=0
Time=1335000 | reset=0 | req_floor=37 | current_floor=36 | Up=1 | Down=0 | stop=0 | door=0
Time=1345000 | reset=0 | req_floor=37 | current_floor=37 | Up=1 | Down=0 | stop=0 | door=0
Time=1355000 | reset=0 | req_floor=37 | current_floor=37 | Up=0 | Down=0 | stop=1 | door=1
Time=1610000 | reset=0 | req_floor=10 | current_floor=37 | Up=0 | Down=0 | stop=1 | door=1
Time=1615000 | reset=0 | req_floor=10 | current_floor=36 | Up=0 | Down=1 | stop=0 | door=0
Time=1625000 | reset=0 | req_floor=10 | current_floor=35 | Up=0 | Down=1 | stop=0 | door=0
Time=1635000 | reset=0 | req_floor=10 | current_floor=34 | Up=0 | Down=1 | stop=0 | door=0
Time=1645000 | reset=0 | req_floor=10 | current_floor=33 | Up=0 | Down=1 | stop=0 | door=0
Time=1655000 | reset=0 | req_floor=10 | current_floor=32 | Up=0 | Down=1 | stop=0 | door=0
Time=1665000 | reset=0 | req_floor=10 | current_floor=31 | Up=0 | Down=1 | stop=0 | door=0
Time=1675000 | reset=0 | req_floor=10 | current_floor=30 | Up=0 | Down=1 | stop=0 | door=0
Time=1685000 | reset=0 | req_floor=10 | current_floor=29 | Up=0 | Down=1 | stop=0 | door=0
Time=1695000 | reset=0 | req_floor=10 | current_floor=28 | Up=0 | Down=1 | stop=0 | door=0
Time=1705000 | reset=0 | req_floor=10 | current_floor=27 | Up=0 | Down=1 | stop=0 | door=0
Time=1715000 | reset=0 | req_floor=10 | current_floor=26 | Up=0 | Down=1 | stop=0 | door=0
Time=1725000 | reset=0 | req_floor=10 | current_floor=25 | Up=0 | Down=1 | stop=0 | door=0
Time=1735000 | reset=0 | req_floor=10 | current_floor=24 | Up=0 | Down=1 | stop=0 | door=0
Time=1745000 | reset=0 | req_floor=10 | current_floor=23 | Up=0 | Down=1 | stop=0 | door=0
Time=1755000 | reset=0 | req_floor=10 | current_floor=22 | Up=0 | Down=1 | stop=0 | door=0
Time=1765000 | reset=0 | req_floor=10 | current_floor=21 | Up=0 | Down=1 | stop=0 | door=0
Time=1775000 | reset=0 | req_floor=10 | current_floor=20 | Up=0 | Down=1 | stop=0 | door=0
Time=1785000 | reset=0 | req_floor=10 | current_floor=19 | Up=0 | Down=1 | stop=0 | door=0
Time=1795000 | reset=0 | req_floor=10 | current_floor=18 | Up=0 | Down=1 | stop=0 | door=0
Time=1805000 | reset=0 | req_floor=10 | current_floor=17 | Up=0 | Down=1 | stop=0 | door=0
Time=1815000 | reset=0 | req_floor=10 | current_floor=16 | Up=0 | Down=1 | stop=0 | door=0
Time=1825000 | reset=0 | req_floor=10 | current_floor=15 | Up=0 | Down=1 | stop=0 | door=0
Time=1835000 | reset=0 | req_floor=10 | current_floor=14 | Up=0 | Down=1 | stop=0 | door=0
Time=1845000 | reset=0 | req_floor=10 | current_floor=13 | Up=0 | Down=1 | stop=0 | door=0
Time=1855000 | reset=0 | req_floor=10 | current_floor=12 | Up=0 | Down=1 | stop=0 | door=0
Time=1865000 | reset=0 | req_floor=10 | current_floor=11 | Up=0 | Down=1 | stop=0 | door=0
Time=1875000 | reset=0 | req_floor=10 | current_floor=10 | Up=0 | Down=1 | stop=0 | door=0
Time=1885000 | reset=0 | req_floor=10 | current_floor=10 | Up=0 | Down=0 | stop=1 | door=1
Simulation complete via $finish(1) at time 2010 NS + 0
./liftc_tb.v:52         $finish;
ncsim> 
